14/09/2025 21:19:49 | INICIO | OK | gabsu
14/09/2025 21:26:33 | AGREGAR PRODUCTO | OK | gabsu
14/09/2025 21:27:56 | BUSCAR | OK | gabsu
14/09/2025 21:30:18 | ELIMINAR | OK | gabsu
14/09/2025 21:31:50 | BUSCAR | ERROR | gabsu
14/09/2025 21:32:20 | VENTA | ERROR | gabsu
14/09/2025 21:32:28 | AGREGAR PRODUCTO | ERROR | gabsu
14/09/2025 21:32:39 | VENTA | OK | gabsu
14/09/2025 21:33:59 | REPORTE | OK | gabsu
14/09/2025 21:33:59 | REPORTE | OK | gabsu
14/09/2025 21:37:30 | DATOS | OK | gabsu
14/09/2025 21:38:40 | BITACORA | OK | gabsu
